N0,Lambda,Gamma,N,Score
0.1,0.1,0.9,500.0,-528.0
0.1,0.1,0.9,2000.0,527.0
0.1,0.1,0.9,4000.0,510.0
0.1,0.2,0.9,500.0,-490.0
0.1,0.2,0.9,2000.0,491.0
0.1,0.2,0.9,4000.0,444.0
0.1,0.5,0.9,500.0,-4990.0
0.1,0.5,0.9,2000.0,-4970.0
0.1,0.5,0.9,4000.0,-484.0
0.1,0.7,0.9,500.0,-4990.0
0.1,0.7,0.9,2000.0,-4990.0
0.1,0.7,0.9,4000.0,-4990.0
10.0,0.1,0.9,500.0,-484.0
10.0,0.1,0.9,2000.0,-4970.0
10.0,0.1,0.9,4000.0,-4970.0
10.0,0.2,0.9,500.0,-4970.0
10.0,0.2,0.9,2000.0,-4970.0
10.0,0.2,0.9,4000.0,-4970.0
10.0,0.5,0.9,500.0,-4990.0
10.0,0.5,0.9,2000.0,-4990.0
10.0,0.5,0.9,4000.0,-4990.0
10.0,0.7,0.9,500.0,-4990.0
10.0,0.7,0.9,2000.0,-4990.0
10.0,0.7,0.9,4000.0,-4990.0
100.0,0.1,0.9,500.0,-494.0
100.0,0.1,0.9,2000.0,-509.0
100.0,0.1,0.9,4000.0,-4970.0
100.0,0.2,0.9,500.0,-4970.0
100.0,0.2,0.9,2000.0,-4990.0
100.0,0.2,0.9,4000.0,-4990.0
100.0,0.5,0.9,500.0,-4990.0
100.0,0.5,0.9,2000.0,-4990.0
100.0,0.5,0.9,4000.0,-4990.0
100.0,0.7,0.9,500.0,-4990.0
100.0,0.7,0.9,2000.0,-4990.0
100.0,0.7,0.9,4000.0,-4990.0
